Date : 2025-10-01 12:48:48
Directory : c:\Users\ashis\autoform
Total : 95 files,  13185 codes, 121 comments, 2344 blanks, all 15650 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\ashis\autoform\components\StatsCard.tsx                          | TypeScript JSX     |         30 |          0 |          4 |         34 |
| c:\Users\ashis\autoform\components\Upload.tsx                             | TypeScript JSX     |        126 |          0 |         10 |        136 |
| c:\Users\ashis\autoform\components\dashboard\ProfileCard.tsx              | TypeScript JSX     |         37 |          0 |          3 |         40 |
| c:\Users\ashis\autoform\components\dashboard\Sidebar.tsx                  | TypeScript JSX     |        197 |          5 |         11 |        213 |
| c:\Users\ashis\autoform\components\providers.tsx                          | TypeScript JSX     |         39 |          0 |          7 |         46 |
| c:\Users\ashis\autoform\components\sign-in.tsx                            | TypeScript JSX     |          6 |          0 |          3 |          9 |
| c:\Users\ashis\autoform\components\skeletons\personas\PersonaSkeleton.tsx | TypeScript JSX     |         33 |          0 |          2 |         35 |
| c:\Users\ashis\autoform\components\theme-provider.tsx                     | TypeScript JSX     |          9 |          0 |          3 |         12 |
| c:\Users\ashis\autoform\components\ui\accordion.tsx                       | TypeScript JSX     |         59 |          0 |          8 |         67 |
| c:\Users\ashis\autoform\components\ui\alert.tsx                           | TypeScript JSX     |         60 |          0 |          7 |         67 |
| c:\Users\ashis\autoform\components\ui\avatar.tsx                          | TypeScript JSX     |         47 |          0 |          7 |         54 |
| c:\Users\ashis\autoform\components\ui\badge.tsx                           | TypeScript JSX     |         41 |          0 |          6 |         47 |
| c:\Users\ashis\autoform\components\ui\button.tsx                          | TypeScript JSX     |         54 |          0 |          6 |         60 |
| c:\Users\ashis\autoform\components\ui\card.tsx                            | TypeScript JSX     |         83 |          0 |         10 |         93 |
| c:\Users\ashis\autoform\components\ui\chart.tsx                           | TypeScript JSX     |        315 |          2 |         37 |        354 |
| c:\Users\ashis\autoform\components\ui\dialog.tsx                          | TypeScript JSX     |        130 |          0 |         14 |        144 |
| c:\Users\ashis\autoform\components\ui\dropdown-menu.tsx                   | TypeScript JSX     |        239 |          0 |         19 |        258 |
| c:\Users\ashis\autoform\components\ui\form.tsx                            | TypeScript JSX     |        143 |          0 |         25 |        168 |
| c:\Users\ashis\autoform\components\ui\input.tsx                           | TypeScript JSX     |         18 |          0 |          4 |         22 |
| c:\Users\ashis\autoform\components\ui\label.tsx                           | TypeScript JSX     |         20 |          0 |          5 |         25 |
