"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "XML", "JavaScript", "JSON", "TypeScript JSX", "PostCSS", "YAML", "comment", "blank", "total"
"c:\Users\ashis\autoform\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 7, 54
"c:\Users\ashis\autoform\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 6, 47
"c:\Users\ashis\autoform\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 6, 60
"c:\Users\ashis\autoform\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 10, 93
"c:\Users\ashis\autoform\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 315, 0, 0, 2, 37, 354
"c:\Users\ashis\autoform\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 14, 144
"c:\Users\ashis\autoform\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 239, 0, 0, 0, 19, 258
"c:\Users\ashis\autoform\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 25, 168
"c:\Users\ashis\autoform\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"c:\Users\ashis\autoform\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"c:\Users\ashis\autoform\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 6, 59
"c:\Users\ashis\autoform\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 14, 186
"c:\Users\ashis\autoform\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"c:\Users\ashis\autoform\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 14, 140
"c:\Users\ashis\autoform\components\ui\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 660, 0, 0, 12, 55, 727
"c:\Users\ashis\autoform\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\ashis\autoform\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\ashis\autoform\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 12, 117
"c:\Users\ashis\autoform\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 8, 67
