"filename", "language", "JSON with Comments", "TypeScript", "XML", "JavaScript", "JSON", "Markdown", "TypeScript JSX", "YAML", "PostCSS", "comment", "blank", "total"
"c:\Users\ashis\autoform\components\landing\CtaSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 3, 30
"c:\Users\ashis\autoform\components\landing\FAQSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 6, 56
"c:\Users\ashis\autoform\components\landing\Features.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 6, 85
"c:\Users\ashis\autoform\components\landing\Hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 9, 80
"c:\Users\ashis\autoform\components\landing\HowitWork.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 5, 63
"c:\Users\ashis\autoform\components\landing\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 86, 0, 0, 1, 7, 94
"c:\Users\ashis\autoform\components\landing\Pricing.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 7, 115
"c:\Users\ashis\autoform\components\landing\Testimonials.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 7, 81
"c:\Users\ashis\autoform\components\landing\faq.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\ashis\autoform\components\providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 7, 46
"c:\Users\ashis\autoform\components\sign-in.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\ashis\autoform\components\skeletons\DashboardSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 4, 45
"c:\Users\ashis\autoform\components\skeletons\personas\PersonaSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 3, 40
"c:\Users\ashis\autoform\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\ashis\autoform\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 8, 67
"c:\Users\ashis\autoform\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 7, 67
"c:\Users\ashis\autoform\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 7, 54
"c:\Users\ashis\autoform\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 6, 47
